STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2018,,10381.904,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2019,,10151.357,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2020,,10183.195,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2021,,10823.270,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2022,,10264.485,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2023,,9903.322,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2014,,1410.442,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2015,,1437.817,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2016,,1513.183,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2017,,1590.235,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2018,,1634.286,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2019,,1663.130,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2020,,1568.352,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2021,,1622.706,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2022,,1669.537,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2023,,1682.805,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2014,,25236.720,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2015,,25906.999,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2016,,25881.450,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2017,,27345.690,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2018,,27163.345,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2019,,27151.005,,,,,
