year,country,energy_balance,Sum of all coal products,Sum of all fuel products,Sum of all peat products,Sum of all petroleum products,Sum of all renewable energies
1992,Ireland,Industry- other manufacturing,0,78,0,5,0
1992,Ireland,Industry- other non-metallic mineral products,67,198,0,50,0
1992,Ireland,"Industry- pulp, paper, publishing and printing",0,29,0,7,0
1992,Ireland,Industry- rubber and plastic products,0,34,0,10,0
1992,Ireland,Industry- textiles and textile products,10,47,0,26,0
1992,Ireland,Industry- transport equipment manufacture,0,11,0,4,0
1992,Ireland,Industry- wood and wood products,0,80,0,6,57
1992,Ireland,Mar. bunkers,0,17,0,17,0
1992,Ireland,Non-energy consumption,0,617,0,180,0
1992,Ireland,Own use and distribution losses,0,307,5,64,0
1992,Ireland,Primary energy requirement excluding non energy,1876,9717,1287,4925,162
1992,Ireland,Primary energy supply including non energy,1876,10334,1287,5106,162
1992,Ireland,Public services,0,414,14,247,0
1992,Ireland,Public services- Education,0,0,0,0,0
1992,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1992,Ireland,Public services- Public Administration,0,0,0,0,0
1992,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1992,Ireland,Residential,476,2175,645,439,32
1992,Ireland,Statistical difference,0,0,0,99,0
1992,Ireland,Stock change,0,469,271,271,0
1992,Ireland,Sum of all commercial and public services,0,958,14,533,0
1992,Ireland,Sum of all exchanges and transfers,0,0,0,0,0
1992,Ireland,Sum of all industry sub-sectors,109,1733,0,797,59
1992,Ireland,Sum of all transformation input,1396,5630,830,2603,0
1992,Ireland,Sum of all transformation output,0,3522,191,2026,0
1992,Ireland,Sum of all transport,0,2160,0,2158,0
1992,Ireland,Total final energy consumption,586,7325,659,4185,92
1992,Ireland,Transformation input- briquetting plants,0,195,195,0,0
1992,Ireland,Transformation input- combined heat and power plants,4,42,8,3,0
1992,Ireland,Transformation input- oil refineries and other energy sectors,0,2031,0,2023,0
1992,Ireland,Transformation input- public thermal power plants,1392,3334,627,577,0
1992,Ireland,Transformation input- pumped storage consumption,0,28,0,0,0
1992,Ireland,Transformation output- briquetting plants,0,191,191,0,0
