year,country,energy_balance,value
2014,Luxembourg,Available for final consumption,3631.791
2015,Luxembourg,Available for final consumption,3566.742
2016,Luxembourg,Available for final consumption,3568.444
2017,Luxembourg,Available for final consumption,3641.419
2018,Luxembourg,Available for final consumption,3776.528
2019,Luxembourg,Available for final consumption,3831.007
2020,Luxembourg,Available for final consumption,3297.64
2021,Luxembourg,Available for final consumption,3470.22
2022,Luxembourg,Available for final consumption,3051.484
2023,Luxembourg,Available for final consumption,2949.515
2014,Latvia,Available for final consumption,3878.454
2015,Latvia,Available for final consumption,3785.857
2016,Latvia,Available for final consumption,3784.047
2017,Latvia,Available for final consumption,3949.588
2018,Latvia,Available for final consumption,4106.978
2019,Latvia,Available for final consumption,3967.834
2020,Latvia,Available for final consumption,3874.602
2021,Latvia,Available for final consumption,4066.82
2022,Latvia,Available for final consumption,3877.504
2023,Latvia,Available for final consumption,3854.991
2014,Moldova,Available for final consumption,2344.118
2015,Moldova,Available for final consumption,2393.517
2016,Moldova,Available for final consumption,2494.42
2017,Moldova,Available for final consumption,2626.08
2018,Moldova,Available for final consumption,2749.308
2019,Moldova,Available for final consumption,2637.391
2020,Moldova,Available for final consumption,2553.455
2021,Moldova,Available for final consumption,2821.691
2022,Moldova,Available for final consumption,2494.541
2023,Moldova,Available for final consumption,2383.419
2014,Montenegro,Available for final consumption,656.071
2015,Montenegro,Available for final consumption,701.411
2016,Montenegro,Available for final consumption,728.851
2017,Montenegro,Available for final consumption,774.512
2018,Montenegro,Available for final consumption,779.19
2019,Montenegro,Available for final consumption,801.767
2020,Montenegro,Available for final consumption,725.175
2021,Montenegro,Available for final consumption,822.721
2022,Montenegro,Available for final consumption,774.457
2023,Montenegro,Available for final consumption,782.558
2014,North Macedonia,Available for final consumption,1852.559
2015,North Macedonia,Available for final consumption,1876.317
2016,North Macedonia,Available for final consumption,1991.517
2017,North Macedonia,Available for final consumption,1953.843
2018,North Macedonia,Available for final consumption,1859.119
2019,North Macedonia,Available for final consumption,2010.84
2020,North Macedonia,Available for final consumption,1871.381
2021,North Macedonia,Available for final consumption,1996.959
2022,North Macedonia,Available for final consumption,1834.944
2023,North Macedonia,Available for final consumption,1825.601
2014,Malta,Available for final consumption,444.634
2015,Malta,Available for final consumption,460.763
2016,Malta,Available for final consumption,460.995
2017,Malta,Available for final consumption,502.636
2018,Malta,Available for final consumption,526.411
2019,Malta,Available for final consumption,561.266
2020,Malta,Available for final consumption,506.308
2021,Malta,Available for final consumption,541.176
2022,Malta,Available for final consumption,603.711
2023,Malta,Available for final consumption,603.968
2014,Netherlands,Available for final consumption,54493.139
2015,Netherlands,Available for final consumption,55148.791
2016,Netherlands,Available for final consumption,56879.166
2017,Netherlands,Available for final consumption,58252.973
2018,Netherlands,Available for final consumption,57891.074
2019,Netherlands,Available for final consumption,56261.399
2020,Netherlands,Available for final consumption,55234.947
2021,Netherlands,Available for final consumption,56427.581
2022,Netherlands,Available for final consumption,49448.604
2023,Netherlands,Available for final consumption,48885.526
2014,Norway,Available for final consumption,22312.762
2015,Norway,Available for final consumption,19283.12
2016,Norway,Available for final consumption,21844.441
2017,Norway,Available for final consumption,22616.488
2018,Norway,Available for final consumption,23243.288
2019,Norway,Available for final consumption,21690.978
2020,Norway,Available for final consumption,21708.016
2021,Norway,Available for final consumption,22705.233
2022,Norway,Available for final consumption,19883.914
2023,Norway,Available for final consumption,21579.525
2014,Poland,Available for final consumption,64594.614
2015,Poland,Available for final consumption,65169.272
2016,Poland,Available for final consumption,70448.59
2017,Poland,Available for final consumption,74777.832
2018,Poland,Available for final consumption,79817.248
2019,Poland,Available for final consumption,77736.811
2020,Poland,Available for final consumption,77110.374
2021,Poland,Available for final consumption,80489.871
2022,Poland,Available for final consumption,76373.104
2023,Poland,Available for final consumption,72769.881
2014,Portugal,Available for final consumption,16792.127
2015,Portugal,Available for final consumption,16851.213
2016,Portugal,Available for final consumption,16726.957
2017,Portugal,Available for final consumption,17006.818
2018,Portugal,Available for final consumption,16934.037
2019,Portugal,Available for final consumption,17583.942
2020,Portugal,Available for final consumption,16394.328
2021,Portugal,Available for final consumption,16941.445
2022,Portugal,Available for final consumption,17165.994
2023,Portugal,Available for final consumption,16989.314
2014,Romania,Available for final consumption,22554.79
2015,Romania,Available for final consumption,22810.177
2016,Romania,Available for final consumption,23114.962
2017,Romania,Available for final consumption,24376.389
2018,Romania,Available for final consumption,24898.704
2019,Romania,Available for final consumption,25070.541
2020,Romania,Available for final consumption,25087.505
2021,Romania,Available for final consumption,26741.952
2022,Romania,Available for final consumption,24752.85
2023,Romania,Available for final consumption,24245.955
2014,Serbia,Available for final consumption,8196.104
2015,Serbia,Available for final consumption,8491.943
2016,Serbia,Available for final consumption,9070.432
2017,Serbia,Available for final consumption,9192.546
2018,Serbia,Available for final consumption,9180.281
2019,Serbia,Available for final consumption,9067.392
2020,Serbia,Available for final consumption,9597.427
2021,Serbia,Available for final consumption,9946.707
2022,Serbia,Available for final consumption,10106.619
2023,Serbia,Available for final consumption,9866.427
2014,Sweden,Available for final consumption,33374.963
2015,Sweden,Available for final consumption,31886.901
2016,Sweden,Available for final consumption,33925.915
2017,Sweden,Available for final consumption,34843.426
2018,Sweden,Available for final consumption,35180.444
2019,Sweden,Available for final consumption,33644.527
2020,Sweden,Available for final consumption,32730.778
2021,Sweden,Available for final consumption,34270.172
2022,Sweden,Available for final consumption,32436.247
2023,Sweden,Available for final consumption,33238.638
2014,Slovenia,Available for final consumption,4744.586
2015,Slovenia,Available for final consumption,4851.549
2016,Slovenia,Available for final consumption,5041.347
2017,Slovenia,Available for final consumption,5117.377
2018,Slovenia,Available for final consumption,5144.129
2019,Slovenia,Available for final consumption,5059.945
2020,Slovenia,Available for final consumption,4603.274
2021,Slovenia,Available for final consumption,4932.087
2022,Slovenia,Available for final consumption,4871.652
2023,Slovenia,Available for final consumption,4616.458
2014,Slovakia,Available for final consumption,10105.263
2015,Slovakia,Available for final consumption,10610.539
2016,Slovakia,Available for final consumption,10885.782
2017,Slovakia,Available for final consumption,11672.43
2018,Slovakia,Available for final consumption,11677.41
2019,Slovakia,Available for final consumption,11270.79
2020,Slovakia,Available for final consumption,10817.679
2021,Slovakia,Available for final consumption,11807.45
2022,Slovakia,Available for final consumption,11062.939
2023,Slovakia,Available for final consumption,10331.478
2014,Türkiye,Available for final consumption,86465.236
2015,Türkiye,Available for final consumption,94140.532
2016,Türkiye,Available for final consumption,98760.147
2017,Türkiye,Available for final consumption,105864.359
2018,Türkiye,Available for final consumption,103627.513
2019,Türkiye,Available for final consumption,105068.665
2020,Türkiye,Available for final consumption,106990.002
2021,Türkiye,Available for final consumption,115858.58
